accuracy,baseline,class,classifier,elapsed_sec,f1,f1_micro,f1_weighted,feature,n_test,n_train_bal,n_train_raw,pr_auc,precision,precision_micro,precision_weighted,recall,recall_micro,recall_weighted,roc_auc,support,task,task_type
,,Disfluent,rf,,0.14642704447949992,,,mfcc45,,,,,0.10159366625069045,,,0.2620857082541693,,,,18948,fluent_vs_disfluent,binary
0.2454599445078552,0.9120848528715793,__all__,rf,20.850970029830933,0.08958279629045175,0.2454599445078552,0.36223540809361277,mfcc45,215526,83694,6476654,,0.1495560389592694,0.2454599445078552,0.8345948650758234,0.195571395979823,0.2454599445078552,0.2454599445078552,,,multiclass,multiclass
,,Fluent,rf,,0.39243260941611463,,,mfcc45,,,,,0.9122992666852316,,,0.24998219536265504,,,,196578,multiclass,multiclass
,,I,rf,,0.09354544372594914,,,mfcc45,,,,,0.054244306418219465,,,0.339573732718894,,,,3472,multiclass,multiclass
,,PR,rf,,0.022420657930341335,,,mfcc45,,,,,0.011727122002507178,,,0.2543859649122807,,,,1140,multiclass,multiclass
,,PhR,rf,,0.03948176690679622,,,mfcc45,,,,,0.023714486968772014,,,0.11781369771704715,,,,6001,multiclass,multiclass
,,WR,rf,,0.047247403494026535,,,mfcc45,,,,,0.02784756378047486,,,0.1557490599643776,,,,5053,multiclass,multiclass
,,PWR,rf,,0.031951692559934415,,,mfcc45,,,,,0.01705952685968059,,,0.2514951211835065,,,,3177,multiclass,multiclass
,,P,rf,,0.0,,,mfcc45,,,,,0.0,,,0.0,,,,105,multiclass,multiclass
0.947690765847276,0.9838905746870448,__all__,dnn,273.0965909957886,0.5761107711524538,0.947690765847276,0.960197685535899,mfcc_sdc_mod_k7,215526,361083,6476654,0.13468027101914393,0.5545079975653495,0.947690765847276,0.9750807633054125,0.6559765255102615,0.947690765847276,0.947690765847276,0.7676026564444784,,fluent_vs_I,binary
,,not_I,dnn,,0.9729845009537137,,,mfcc_sdc_mod_k7,,,,,0.9890822461049781,,,0.9574023597762834,,,,212054,fluent_vs_I,binary
,,I,dnn,,0.17923704135119395,,,mfcc_sdc_mod_k7,,,,,0.11993374902572097,,,0.35455069124423966,,,,3472,fluent_vs_I,binary
0.9023737275317131,0.9995128197990034,__all__,dnn,98.02333807945251,0.47509819496564354,0.9023737275317131,0.9482164218379253,mfcc_sdc_mod_k7,215526,19314,6476654,0.0007646473925471875,0.5001528101974451,0.9023737275317131,0.9990559672729982,0.5275601198185347,0.9023737275317131,0.9023737275317131,0.6314489832865479,,fluent_vs_P,binary
,,not_P,dnn,,0.9486778591098568,,,mfcc_sdc_mod_k7,,,,,0.9995425528634135,,,0.9027392872561171,,,,215421,fluent_vs_P,binary
,,P,dnn,,0.0015185308214302662,,,mfcc_sdc_mod_k7,,,,,0.0007630675314765357,,,0.1523809523809524,,,,105,fluent_vs_P,binary
0.9076074348338483,0.994710614960608,__all__,dnn,183.81603503227234,0.48857211082234175,0.9076074348338483,0.9466071958561353,mfcc_sdc_mod_k7,215526,203247,6476654,0.01845122239833144,0.5045514379248549,0.9076074348338483,0.990331732709604,0.570518057198354,0.9076074348338483,0.9076074348338483,0.7110981651230499,,fluent_vs_PR,binary
,,not_PR,dnn,,0.9515044506411116,,,mfcc_sdc_mod_k7,,,,,0.9955256358642198,,,0.9112115529931992,,,,214386,fluent_vs_PR,binary
,,PR,dnn,,0.025639771003571954,,,mfcc_sdc_mod_k7,,,,,0.013577239985489972,,,0.22982456140350876,,,,1140,fluent_vs_PR,binary
0.8811141115225077,0.9852593190612734,__all__,dnn,476.7574598789215,0.4831102760748138,0.8811141115225077,0.9233066470517179,mfcc_sdc_mod_k7,215526,443277,6476654,0.015669626486805865,0.5011492735090443,0.8811141115225077,0.9712274942700848,0.5076086860962504,0.8811141115225077,0.8811141115225077,0.5135919879184404,,fluent_vs_PWR,binary
,,not_PWR,dnn,,0.936678454660706,,,mfcc_sdc_mod_k7,,,,,0.9855070202808113,,,0.8924600539677606,,,,212349,fluent_vs_PWR,binary
,,PWR,dnn,,0.029542097488921712,,,mfcc_sdc_mod_k7,,,,,0.01679152673727719,,,0.12275731822474033,,,,3177,fluent_vs_PWR,binary
0.9043734862615184,0.972156491560183,__all__,dnn,277.1853427886963,0.4837815732158066,0.9043734862615184,0.9237922059363266,mfcc_sdc_mod_k7,215526,350328,6476654,0.023088858434710716,0.49174476146757645,0.9043734862615184,0.9443199316818588,0.48027230079638517,0.9043734862615184,0.9043734862615184,0.44742243671315884,,fluent_vs_PhR,binary
,,not_PhR,dnn,,0.9497400431148004,,,mfcc_sdc_mod_k7,,,,,0.9710087113486883,,,0.9293831285049516,,,,209525,fluent_vs_PhR,binary
,,PhR,dnn,,0.01782310331681281,,,mfcc_sdc_mod_k7,,,,,0.01248081158646466,,,0.031161473087818695,,,,6001,fluent_vs_PhR,binary
0.9451759880478457,0.9765550328034669,__all__,dnn,178.8605239391327,0.4946317188916186,0.9451759880478457,0.9494268234128579,mfcc_sdc_mod_k7,215526,237534,6476654,0.020523615046080437,0.49566634860753517,0.9451759880478457,0.9537389259159417,0.4940742354717145,0.9451759880478457,0.9451759880478457,0.45937828842231276,,fluent_vs_WR,binary
,,not_WR,dnn,,0.971801272474739,,,mfcc_sdc_mod_k7,,,,,0.9762746160448423,,,0.9673687361324256,,,,210473,fluent_vs_WR,binary
,,WR,dnn,,0.017462165308498253,,,mfcc_sdc_mod_k7,,,,,0.015058081170228022,,,0.020779734811003363,,,,5053,fluent_vs_WR,binary
0.8816337704035708,0.9120848528715793,__all__,dnn,1224.1095628738403,0.5275674488414415,0.8816337704035708,0.8646442495096751,mfcc_sdc_mod_k7,215526,1614783,6476654,0.11625529680319024,0.5439222379628639,0.8816337704035708,0.8507081981310314,0.524224024999341,0.8816337704035708,0.8816337704035708,0.5102652869110644,,fluent_vs_disfluent,binary
,,Fluent,dnn,,0.9365570032006247,,,mfcc_sdc_mod_k7,,,,,0.916158633004267,,,0.9578844021202779,,,,196578,fluent_vs_disfluent,binary
